workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP,SPEC_speed_score
500.perlbench_r,6742418749,24738219,14777065610,1290489683,25931114,43,224310,84.05,3.6,567.76,1.98,1.43,0.9290912759
500.perlbench_r,13515839400,52639694,30339255344,2609967526,57384047,86,387548,90.42,3.58,526.91,2.02,1.39,0.9290912759
500.perlbench_r,20269282411,81243476,45767430997,3953043070,88492177,151,547194,92.79,3.59,516.373,2.03,1.38,0.9290912759
500.perlbench_r,27034596132,108140821,61506178913,5247501412,119763720,196,699451,93.743,3.57,512.64,2.04,1.37,0.9290912759
500.perlbench_r,33866874531,135170123,77567161380,6546652740,152187232,218,860821,94.417,3.57,508.46,2.04,1.367,0.9290912759
500.perlbench_r,40728383261,161062810,93996992174,7815034022,184059072,235,1018448,94.937,3.57,510.283,2.04,1.373,0.9290912759
500.perlbench_r,47576757265,186833771,110455930314,9085947860,216120040,254,1176913,95.297,3.56,510.273,2.04,1.37,0.9290912759
500.perlbench_r,54407142723,215746488,126429201586,10435723274,248402844,274,1347616,95.51,3.57,508.78,2.04,1.37,0.9290912759
500.perlbench_r,61183713336,244852659,142280992288,11746398148,279938534,297,1502449,95.783,3.57,507.833,2.04,1.363,0.9290912759
500.perlbench_r,67954354833,276006669,157480230787,13155623705,310809017,331,1685648,95.93,3.57,506.847,2.05,1.363,0.9290912759
500.perlbench_r,74721404033,306188614,172931851013,14513664950,342150214,415,1851970,96.027,3.57,505.053,2.04,1.36,0.9290912759
500.perlbench_r,81478807813,334514552,188363796222,15853442319,373170186,503,2038929,96.127,3.57,504.713,2.05,1.36,0.9290912759
500.perlbench_r,88240298092,365659711,203860938847,17218200604,404859875,520,2211757,96.2,3.57,503.557,2.05,1.36,0.9290912759
500.perlbench_r,95010740209,394080689,219668945737,18518139700,436221141,544,2371148,96.293,3.57,503.017,2.05,1.363,0.9290912759
500.perlbench_r,101755094155,425519329,234940632904,19916560604,467545314,648,2537031,96.5,3.57,502.52,2.05,1.367,0.9290912759
500.perlbench_r,108504379873,456337815,250092992793,21322254992,498368830,774,2711591,96.567,3.58,501.913,2.05,1.367,0.9290912759
